Nummer	first_Nummer	NummerNieuw	NummerDesc	Plaats	RingKleurCode	InscriptieKleurCode	EuringCode	GeslachtCode	MetaalringNummer	MetaalringPlaats	MetaalringLandCode	color_ring	sovon_bird_notes
BSAY	BSAY	TSAK	TS.AK	RU	B	W	05910	M	L912663	LL	BE		
BCAD	BCAD	GJAV	GJA.V	RU	B	W	05910	M	L907008	LL	BE		
BCAF	BCAF	BCAF	BCAF		B	W	05910	O	L89202		BE		
BCAG	BCAG	BCAG	BCAG	RU	B	W	05910	O	L89203	LL	BE		
BCAH	BCAH	BCAH	BCAH		B	W	05910	O	L89204		BE		
BCAJ	BCAJ	BCAJ	BCAJ		B	W	05910	O	L89205		BE		
BCAK	BCAK	BCAK	BCAK	RU	B	W	05910	O	L89206	LL	BE		
BCAL	BCAL	BCAL	BCAL	RU	B	W	05910	O	L89207	LL	BE		
BCAM	BCAM	BCAM	BCAM	RL	B	W	05910	O	L89208	LL	BE		
BCAN	BCAN	DHAG	DH.AG	RU	B	W	05910	M	L904813	LL	BE		
BCAP	BCAP	BCAP	BCAP	RL	B	W	05910	O	L89210	LL	BE		
BMAK	BMAK	BMAK	BMAK		B	W	05910	O	L85111		BE		
AFAS	AFAS	LBAG	LBA.G	RU	B	W	05910	M	L909989	LL	BE		
ASAX	ASAX	KCAN	KC.AN	RU	B	W	05910	M	L909270	LL	BE		
ASAY	ASAY	HWAT	H.WAT	RU	B	W	05910	M	L909644	LL	BE		
ASAU	ASAU	ASAU	ASAU		B	W	05910	O	L89123		BE		
AWAB	AWAB	AWAB	AWAB	RL	B	W	05910	O	L89133	LL	BE		
AUAP	AUAP	KGAR	KG.AR	RU	B	W	05910	M	L909674	LL	BE		
AVAA	AVAA	AVAA	AVAA		B	W	05910	O	L89135		BE		
AVAC	AVAC	AVAC	AVAC		B	W	05910	O	L89136		BE		
AVAD	AVAD	UTAL	U.TAL	RU	B	W	05910	M	L914601	LL	BE		
AVAH	AVAH	AVAH	AVAH		B	W	05910	O	L89138		BE		
AVAL	AVAL	AVAL	AVAL	RU	B	W	05910	V	L89139	LL	BE		
AVAS	AVAS	AVAS	AVAS	RL	B	W	05910	O	L89140	LL	BE		
AWAD	AWAD	AWAD	AWAD	RU	B	W	05910	O	L89141	LL	BE		
AWAF	AWAF	AWAF	AWAF	RU	B	W	05910	M	L89142	LL	BE		
AWAH	AWAH	AWAH	AWAH		B	W	05910	O	L89143		BE		
AWAJ	AWAJ	AWAJ	AWAJ		B	W	05910	O	L89144		BE		
AWAM	AWAM	AWAM	AWAM		B	W	05910	O	L89145		BE		
AWAN	AWAN	AWAN	AWAN	RD	B	W	05910	M	L89146	LL	BE		
AWAR	AWAR	DGAU	DG.AU	RU	B	W	05910	M	L902146	LL	BE		
AWAU	AWAU	AWAU	AWAU	RU	B	W	05910	M	L89148	LL	BE		
AWAV	AWAV	AWAV	AWAV	RU	B	W	05910	O	L89149	LL	BE		
AWAW	AWAW	AWAW	AWAW		B	W	05910	O	L89150		BE		
BJAA	BJAA	HWAF	HW.AF	RU	B	W	05910	M	L909636	LL	BE		
BJAJ	BJAJ	BJAJ	BJAJ	RU	B	W	05910	O	L85154	LL	BE		
BJAL	BJAL	BJAL	BJAL		B	W	05910	O	L85155		BE		
AXAG	AXAG	AXAG	AXAG	RU	B	W	05910	M	L89182	RL	BE		
AXAJ	AXAJ	AXAJ	AXAJ	RL	B	W	05910	O	L89183	LL	BE		
BJAP	BJAP	BJAP	BJAP	RU	B	W	05910	O	L85156	LL	BE		
BJAR	BJAR	BJAR	BJAR		B	W	05910	O	L85157		BE		
BJAT	BJAT	BJAT	BJAT	RU	B	W	05910	O	L85158	LL	BE		
BJAX	BJAX	BJAX	BJAX	RL	B	W	05910	O	L85159	LL	BE		
BJAY	BJAY	GJAY	GJA.Y	RU	B	W	05910	V	L907007	LL	BE		
BJAZ	BJAZ	BJAZ	BJAZ	RU	B	W	05910	V	L85161	LL	BE		
BKAA	BKAA	BKAA	BKAA	RU	B	W	05910	M	L85162	LL	BE		
BKAC	BKAC	BKAC	BKAC		B	W	05910	O	L85163		BE		
BKAD	BKAD	BKAD	BKAD		B	W	05910	O	L85164		BE		
BKAJ	BKAJ	BKAJ	BKAJ		B	W	05910	O	L85165		BE		
BKAK	BKAK	BKAK	BKAK	RU	B	W	05910	O	L85166	LL	BE		
BKAN	BKAN	BKAN	BKAN	RU	B	W	05910	M	L85167	LL	BE		
BKAZ	BKAZ	BKAZ	BKAZ	RU	B	W	05910	O	L85168	LL	BE		
BLAB	BLAB	BLAB	BLAB	RL	B	W	05910	O	L85169	LL	BE		
BLAC	BLAC	BLAC	BLAC	RL	B	W	05910	O	L85170	LL	BE		
BLAD	BLAD	HWAJ	HW.AJ	RU	B	W	05910	M	L909631	LL	BE		
BLAF	BLAF	BLAF	BLAF	RL	B	W	05910	O	L85172	LL	BE		
BLAG	BLAG	BLAG	BLAG		B	W	05910	O	L85173		BE		
BLAH	BLAH	KSAF	KS.AF	RU	B	W	05910	M	L909268	LL	BE		
BLAJ	BLAJ	BLAJ	BLAJ	RU	B	W	05910	O	L85175	LL	BE		
BLAK	BLAK	BLAK	BLAK	RU	B	W	05910	O	L85176	LL	BE		
BLAL	BLAL	BLAL	BLAL		B	W	05910	O	L85177		BE		
BLAM	BLAM	BLAM	BLAM		B	W	05910	O	L85178		BE		
BLAN	BLAN	BLAN	BLAN	RU	B	W	05910	O	L85179	LL	BE		
BLAP	BLAP	BLAP	BLAP		B	W	05910	O	L85180		BE		
BLAR	BLAR	KKAB	KK.AB	RU	B	W	05910	M	L909682	LL	BE		
BLAT	BLAT	BLAT	BLAT		B	W	05910	O	L85182		BE		
BLAU	BLAU	BLAU	BLAU		B	W	05910	O	L85183		BE		
BMAP	BMAP	BMAP	BMAP		B	W	05910	O	L85195		BE		
BMAR	BMAR	BMAR	BMAR		B	W	05910	O	L85196		BE		
BMAS	BMAS	BMAS	BMAS		B	W	05910	O	L85197		BE		
BMAT	BMAT	BMAT	BMAT	RU	B	W	05910	V	L85198	LL	BE		
BMAU	BMAU	BMAU	BMAU	RU	B	W	05910	O	L85199	LL	BE		
BMAV	BMAV	BMAV	BMAV		B	W	05910	O	L85200		BE		
BLAV	BLAV	BLAV	BLAV		B	W	05910	O	L85184		BE		
BLAW	BLAW	BLAW	BLAW	RL	B	W	05910	O	L85185	LL	BE		
BLAX	BLAX	BLAX	BLAX	RU	B	W	05910	O	L85186	LL	BE		
BLAY	BLAY	BLAY	BLAY	RU	B	W	05910	M	EA676412	LL	FR		
BMAA	BMAA	BMAA	BMAA	RU	B	W	05910	M	L85188	LL	BE		
BMAC	BMAC	BMAC	BMAC	RU	B	W	05920	M	H99695	LL	BE		
BMAD	BMAD	BMAD	BMAD	RU	B	W	05910	M	L85189	LL	BE		
BMAF	BMAF	BMAF	BMAF	RU	B	W	05910	O	L85190	LL	BE		
BMAG	BMAG	BMAG	BMAG	RU	B	W	05910	O	L85191	LL	BE		
BMAM	BMAM	BMAM	BMAM		B	W	05910	O	L85193		BE		
BMAN	BMAN	CZAX	CZ.AX	RU	B	W	05910	M	L909903	LL	BE		
AAAA	AAAA	CYAA	CY.AA	RU	B	W	05920	V	H159513	LL	BE		
BJAG	BJAG	BJAG	BJAG		B	W	05920	O	H36188		BE		
APAR	APAR	APAR	APAR	LU	B	W	05920	V	H36199	RL	BE		
ABAA	ABAA	ABAA	ABAA	LU	B	W	05920	O	H106507	RL	BE		
ANAC	ANAC	ANAC	ANAC		B	W	05920	O	H106508		BE		
AKAZ	AKAZ	AKAZ	AKAZ	RU	B	W	05920	M	H106509	LL	BE		
ANAF	ANAF	ANAF	ANAF	LU	B	W	05920	M	H106510	RL	BE		
AMAB	AMAB	AMAB	AMAB	LU	B	W	05920	M	H106511	RL	BE		
AJAR	AJAR	AJAR	AJAR	RU	B	W	05920	O	H106512	LL	BE		
AJAP	AJAP	KRAL	KR.AL	RU	B	W	05920	M	H146476	LL	BE		
AJAX	AJAX	AJAX	AJAX	RU	B	W	05920	V	H106514	LL	BE		
AKAA	AKAA	FNAH	FN.AH	RU	B	W	05920	V	H136827	LL	BE		
AKAB	AKAB	KSAN	KS.AN	RU	B	W	05920	M	H152241	LL	BE		
AKAD	AKAD	AKAD	AKAD		B	W	05920	O	H106517		BE		
AKAG	AKAG	AKAG	AKAG	RU	B	W	05920	O	H106518	LL	BE		
AKAH	AKAH	AKAH	AKAH		B	W	05920	O	H106519		BE		
AKAJ	AKAJ	AKAJ	AKAJ	RU	B	W	05920	O	H106520	LL	BE		
AKAK	AKAK	AKAK	AKAK	RU	B	W	05920	M	H106521	LL	BE		
AKAM	AKAM	AKAM	AKAM	RU	B	W	05910	O	H106522	LL	BE		
AKAS	AKAS	AKAS	AKAS	RU	B	W	05920	O	H106523	LL	BE		
AKAT	AKAT	AKAT	AKAT	RU	B	W	05920	O	H106524	LL	BE		
ALAA	ALAA	ALAA	ALAA	RU	B	W	05920	M	H106525	LL	BE		
ALAB	ALAB	ALAB	ALAB	RU	B	W	05920	O	H106526	LL	BE		
ALAC	ALAC	ALAC	ALAC	RL	B	W	05920	O	H106527	LL	BE		
ALAD	ALAD	ALAD	ALAD		B	W	05920	O	H106528		BE		
ALAF	ALAF	ALAF	ALAF	RU	B	W	05920	O	H106529	LL	BE		
ALAG	ALAG	ALAG	ALAG	RU	B	W	05920	O	H106530	LL	BE		
ALAN	ALAN	ALAN	ALAN	RL	B	W	05920	O	H106531	LL	BE		
ALAS	ALAS	ALAS	ALAS		B	W	05920	O	H106532		BE		
ALAU	ALAU	FAAG	FAA.G	RU	B	W	05920	M	H145700	LL	BE		
ALAY	ALAY	ALAY	ALAY	RU	B	W	05920	O	H106534	LL	BE		
AMAC	AMAC	AMAC	AMAC	RU	B	W	05920	V	H106535	LL	BE		
AMAH	AMAH	AMAH	AMAH	RU	B	W	05920	M	H106536	LL	BE		
AMAJ	AMAJ	AMAJ	AMAJ		B	W	05920	O	H106537		BE		
AMAN	AMAN	CTAG	CTA.G	RU	B	W	05920	M	H153875	LL	BE		
AMAW	AMAW	AMAW	AMAW	LU	B	W	05920	O	H106539	RL	BE		
AMAY	AMAY	AMAY	AMAY	RL	B	W	05920	O	H106540	LL	BE		
AMAZ	AMAZ	AMAZ	AMAZ		B	W	05920	O	H106541		BE		
ANAG	ANAG	ANAG	ANAG	RU	B	W	05920	O	H106542	LL	BE		
ANAH	ANAH	ANAH	ANAH		B	W	05920	O	H106543		BE		
ANAL	ANAL	ANAL	ANAL	RL	B	W	05920	O	H106544	LL	BE		
ANAR	ANAR	ANAR	ANAR	RU	B	W	05920	M	H106545	LL	BE		
ANAT	ANAT	ANAT	ANAT	RU	B	W	05920	M	H106546	LL	BE		
ANAX	ANAX	ANAX	ANAX		B	W	05920	O	H106547		BE		
ANAY	ANAY	ANAY	ANAY	RU	B	W	05920	O	H106548	LL	BE		
APAA	APAA	APAA	APAA	RU	B	W	05920	M	H106549	LL	BE		
APAB	APAB	APAB	APAB		B	W	05920	O	H106550		BE		
AZAV	AZAV	AZAV	AZAV		B	W	05920	O	H106552		BE		
BAAD	BAAD	BAAD	BAAD		B	W	05920	O	H106556		BE		
AWAS	AWAS	AWAS	AWAS	RU	B	W	05920	O	H106558	LL	BE		
BRAC	BRAC	BRAC	BRAC	RL	B	W	05920	O	H99699	LL	BE		
BRAA	BRAA	BRAA	BRAA	RD	B	W	05920	O	H99700	LL	BE		
BRAD	BRAD	BRAD	BRAD	RL	B	W	05920	O	5360351	LL	NL		
BRAF	BRAF	FUAJ	F.UAJ	RU	B	W	05920	V	H136842	LL	BE		
BRAG	BRAG	BRAG	BRAG	RL	B	W	05920	O	H106653	LL	BE		
BRAH	BRAH	BRAH	BRAH	RD	B	W	05920	O	H106654	LL	BE		
BRAJ	BRAJ	BRAJ	BRAJ	RD	B	W	05920	O	H106655	LL	BE		
BRAK	BRAK	BRAK	BRAK	RD	B	W	05920	O	H106656	LL	BE		
BRAM	BRAM	BRAM	BRAM		B	W	05920	O	H106658		BE		
BRAN	BRAN	BRAN	BRAN		B	W	05920	O	H106659		BE		
BBAS	BBAS	BBAS	BBAS		B	W	05920	O	H106675		BE		
BBAM	BBAM	BBAM	BBAM	RU	B	W	05920	O	H106681	LL	BE		
AAAJ	AAAJ	FNAC	F.NAC	RU	B	W	05920	M	H136845	LL	BE		
AAAR	AAAR	KPAU	KP.AU	RU	B	W	05920	M	H152230	LL	BE		
AAAU	AAAU	AAAU	AAAU	RU	B	W	05920	V	H99572	LL	BE		
BRAP	BRAP	BRAP	BRAP	RU	B	W	05920	V	H106660	LL	BE		
BRAR	BRAR	BRAR	BRAR		B	W	05920	O	H106661		BE		
BRAS	BRAS	BRAS	BRAS		B	W	05920	O	H106662		BE		
BRAT	BRAT	BRAT	BRAT		B	W	05920	O	H106663		BE		
BRAU	BRAU	BRAU	BRAU		B	W	05920	O	H106664		BE		
BRAV	BRAV	FHAR	FH.AR	RU	B	W	05920	V	H136849	LL	BE		
BRAW	BRAW	BRAW	BRAW		B	W	05920	O	H106666		BE		
BRAX	BRAX	KRAV	KR.AV	RU	B	W	05920	M	H146485	LL	BE		
BRAY	BRAY	BRAY	BRAY	RD	B	W	05920	O	H106668	LL	BE		
BRAZ	BRAZ	GFAT	G.FAT	RU	B	W	05920	O	H145698	LL	BE		
AAAB	AAAB	AAAB	AAAB	RU	B	W	05920	V	H99574	LL	BE		
AAAC	AAAC	AAAC	AAAC		B	W	05920	O	H99575		BE		
AAAD	AAAD	AAAD	AAAD	RU	B	W	05920	M	H99576	LL	BE		
AAAF	AAAF	AAAF	AAAF	RU	B	W	05920	M	H99577	LL	BE		
AAAG	AAAG	AAAG	AAAG	RU	B	W	05920	M	H99578	LL	BE		
ACAM	ACAM	ACAM	ACAM	RU	B	W	05920	O	H99582	LL	BE		
ACAN	ACAN	ACAN	ACAN	RU	B	W	05920	O	H99583	LL	BE		
ACAX	ACAX	ACAX	ACAX	RL	B	W	05920	O	H99584	LL	BE		
ABAG	ABAG	ABAG	ABAG		B	W	05920	O	H99581		BE		
ADAA	ADAA	ADAA	ADAA	RU	B	W	05920	O	H99585	LL	BE		
ADAL	ADAL	ADAL	ADAL	RL	B	W	05920	O	H99586	LL	BE		
ADAN	ADAN	ADAN	ADAN	RU	B	W	05920	O	H99587	LL	BE		
AFAH	AFAH	AFAH	AFAH	RU	B	W	05920	O	H99588	LL	BE		
AGAR	AGAR	AGAR	AGAR	RL	B	W	05920	O	H99589	LL	BE		
AGAT	AGAT	AGAT	AGAT	RU	B	W	05920	V	H99590	LL	BE		
AGAU	AGAU	AGAU	AGAU	RU	B	W	05920	M	H99591	LL	BE		
AGAW	AGAW	FSAG	F.SAG	RU	B	W	05920	M	H136833	LL	BE		
AGAX	AGAX	AGAX	AGAX	RL	B	W	05920	O	H99593	LL	BE		
AGAZ	AGAZ	AGAZ	AGAZ	RL	B	W	05920	O	H99594	LL	BE		
AHAA	AHAA	AHAA	AHAA	RU	B	W	05920	O	H99595	LL	BE		
AHAB	AHAB	AHAB	AHAB	RU	B	W	05920	O	H99596	LL	BE		
AHAG	AHAG	AHAG	AHAG	RU	B	W	05920	M	H99597	LL	BE		
AJAL	AJAL	AJAL	AJAL	LU	B	W	05920	O	H99598	RL	BE		
AJAM	AJAM	AJAM	AJAM	RU	B	W	05920	O	H99599	LL	BE		
AJAN	AJAN	AJAN	AJAN	RU	B	W	05920	O	H99600	LL	BE		
ACAZ	ACAZ	ACAZ	ACAZ		B	W	05920	M	6142906		NL		
APAF	APAF	APAF	APAF	RU	B	W	05920	V	H106579	LL	BE		
APAN	APAN	APAN	APAN	RU	B	W	05920	V	H106580	LL	BE		
APAS	APAS	APAS	APAS	RU	B	W	05920	O	H106581	LL	BE		
APAW	APAW	APAW	APAW		B	W	05920	O	H106582		BE		
APAZ	APAZ	APAZ	APAZ	RU	B	W	05920	V	H106584	LL	BE		
ARAD	ARAD	ARAD	ARAD	RU	B	W	05920	V	H106585	LL	BE		
ARAF	ARAF	ARAF	ARAF	RL	B	W	05920	O	H106586	LL	BE		
ARAL	ARAL	ARAL	ARAL	RU	B	W	05920	O	H106587	LL	BE		
ARAM	ARAM	ARAM	ARAM	RU	B	W	05920	O	H106588	LL	BE		
ARAP	ARAP	ARAP	ARAP	RU	B	W	05920	O	H106589	LL	BE		
ARAS	ARAS	ARAS	ARAS	RU	B	W	05920	O	H106590	LL	BE		
ARAV	ARAV	ARAV	ARAV		B	W	05920	O	H106591		BE		
ARAW	ARAW	ARAW	ARAW	RU	B	W	05920	O	H106592	LL	BE		
ARAZ	ARAZ	ARAZ	ARAZ		B	W	05920	O	H106593		BE		
ASAA	ASAA	ASAA	ASAA	RU	B	W	05920	O	H106594	LL	BE		
ASAB	ASAB	ASAB	ASAB	RU	B	W	05920	O	H106595	LL	BE		
ASAL	ASAL	ASAL	ASAL	RU	B	W	05920	O	H106596	LL	BE		
ASAN	ASAN	ASAN	ASAN	RU	B	W	05920	M	H106597	LL	BE		
ASAD	ASAD	ASAD	ASAD	RU	B	W	05920	V	H106598	LL	BE		
ADAW	ADAW	ADAW	ADAW	RU	B	W	05910	O	L89032	LL	BE		
AFAJ	AFAJ	AFAJ	AFAJ	RU	B	W	05910	V	L89044	LL	BE		
AFAK	AFAK	AFAK	AFAK	RU	B	W	05910	O	L89019	LL	BE		
AFAR	AFAR	KGAN	KG.AN	RU	B	W	05910	M	L909671	LL	BE		
AFAU	AFAU	FAAB	FA.AB	RD	B	W	05920	M	H145595	LL	BE		
AGAP	AGAP	AGAP	AGAP	LU	B	W	05910	O	L89027	RL	BE		
AHAL	AHAL	AHAL	AHAL	LU	B	W	05910	M	L89036	RL	BE		
AJAT	AJAT	STAW	S.TAW	RU	B	W	05920	M	H901951	LL	BE		
AKAC	AKAC	AKAC	AKAC		B	W	05910	O	L89048		BE		
AKAL	AKAL	AKAL	AKAL		B	W	05920	O	H99537		BE		
AKAR	AKAR	AKAR	AKAR	LU	B	W	05920	O	H99538	RL	BE		
AKAW	AKAW	AKAW	AKAW		B	W	05910	O	L89014		BE		
AMAS	AMAS	CZAD	C.ZAD	RL	B	W	05920	M	H136755	LL	BE		
ANAA	ANAA	ANAA	ANAA		B	W	05910	O	L89011		BE		
ANAB	ANAB	ANAB	ANAB	RU	B	W	05910	M	L89018	LL	BE		
ANAM	ANAM	ANAM	ANAM		B	W	05910	O	L89013		BE		
APAK	APAK	APAK	APAK	RU	B	W	05910	O	L89010	LL	BE		
APAP	APAP	APAP	APAP		B	W	05910	O	L89015		BE		
APAY	APAY	APAY	APAY		B	W	05910	O	L89007		BE		
ARAC	ARAC	ARAC	ARAC		B	W	05920	O	H99536		BE		
ARAT	ARAT	ARAT	ARAT	RU	B	W	05920	O	H99550	LL	BE		
ASAF	ASAF	GDAC	G.DAC	RU	B	W	05920	V	H152148	LL	BE		
AUAS	AUAS	AUAS	AUAS		B	W	05910	O	L89031		BE		
AUAZ	AUAZ	AUAZ	AUAZ		B	W	05920	O	H99527		BE		
AVAJ	AVAJ	AVAJ	AVAJ	LU	B	W	05920	O	H99530	RL	BE		
AVAU	AVAU	AVAU	AVAU	RU	B	W	05920	O	H99533	LL	BE		
BJAC	BJAC	BJAC	BJAC	RU	B	W	05920	O	H99528	LL	BE		
AXAF	AXAF	AXAF	AXAF	RL	B	W	05910	O	L89029	LL	BE		
AZAY	AZAY	AZAY	AZAY		B	W	05910	O	L89033		BE		
BUAC	BUAC	BUAC	BUAC	RU	B	W	05920	M	H108751	LL	BE		
BUAD	BUAD	BUAD	BUAD	RD	B	W	05920	O	H108752	LL	BE		
GZAZ	GZAZ	GZAZ	G.ZAZ	RU	B	W	05910	V	5366177	LL	NL		
BUAK	BUAK	BUAK	BUAK		B	W	05920	O	H108754		BE		
BUAP	BUAP	KZAP	KZ.AP	RU	B	W	05920	M	H108755	LL	BE		
BUAU	BUAU	BUAU	BUAU	RU	B	W	05920	V	H108756	LL	BE		
BUAX	BUAX	BUAX	BUAX	RU	B	W	05920	M	H108757	LL	BE		
BUAY	BUAY	BUAY	BUAY	RU	B	W	05920	M	H108758	LL	BE		
BVAA	BVAA	BVAA	BVAA	RL	B	W	05920	O	H108759	LL	BE		
BVAD	BVAD	BVAD	BVAD	RU	B	W	05920	V	H108760	LL	BE		
BVAF	BVAF	BVAF	BVAF	RL	B	W	05920	O	H108761	LL	BE		
BVAL	BVAL	BVAL	BVAL	RU	B	W	05920	O	H108762	LL	BE		
BVAS	BVAS	BVAS	BVAS	RU	B	W	05920	M	H108763	LL	BE		
BVAT	BVAT	BVAT	BVAT	RU	B	W	05920	V	H108764	LL	BE		
BVAW	BVAW	BVAW	BVAW	RU	B	W	05920	V	H108765	LL	BE		
BVAX	BVAX	KVAJ	KV.AJ	RU	B	W	05920	V	H152374	LL	BE		
BVAZ	BVAZ	BVAZ	BVAZ	RU	B	W	05920	V	H108767	LL	BE		
BWAA	BWAA	BWAA	BWAA	RU	B	W	05920	V	H108768	LL	BE		
BWAB	BWAB	BWAB	BWAB	RU	B	W	05920	O	H108769	LL	BE		
BWAJ	BWAJ	BWAJ	BWAJ	RU	B	W	05920	V	H112001	LL	BE		
BWAL	BWAL	BWAL	BWAL	RU	B	W	05920	M	H112002	LL	BE		
BWAM	BWAM	BWAM	BWAM	RU	B	W	05920	M	H112003	LL	BE		
BWAN	BWAN	BWAN	BWAN	RU	B	W	05920	O	H108797	LL	BE		
BWAP	BWAP	BWAP	BWAP	RU	B	W	05920	V	H108798	LL	BE		
BUAF	BUAF	BUAF	BUAF	RD	B	W	05910	V	L89244	LL	BE		
GCAG	GCAG	GCAG	GC.AG	RU	B	W	05920	O	H131819	LL	BE		
BUAJ	BUAJ	GMAF	GM.AF	RU	B	W	05910	V	L907001	LL	BE		
BUAL	BUAL	BUAL	BUAL	RU	B	W	05910	M	L89247	LL	BE		
BUAM	BUAM	BUAM	BUAM	RU	B	W	05910	V	L89248	LL	BE		
BUAN	BUAN	BUAN	BUAN	RU	B	W	05910	O	L89249	LL	BE		
BUAS	BUAS	BUAS	BUAS	RU	B	W	05910	M	L80914	LL	BE		
BUAT	BUAT	BUAT	BUAT	RU	B	W	05910	V	L89250	LL	BE		
BUAV	BUAV	BUAV	BUAV	RU	B	W	05910	M	L89326	LL	BE		
BUAW	BUAW	HWAS	HWA.S	RU	B	W	05910	V	L909641	LL	BE		
BUAZ	BUAZ	KNAW	KN.AW	RU	B	W	05910	M	L907231	LL	BE		
